                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5678,                 2.6998,                 1.7815,                 0.4821,                0.42351,                0.40608,                0.18504,                 1.8635,                 2.7342,                 2.0912,             0.00047605,             0.00047605,             0.00047605
                      2,                  1.652,                 2.1342,                 1.8584,                0.42504,                0.36847,                0.32931,                0.12723,                 2.0536,                 2.5181,                 2.2768,             0.00092881,             0.00092881,             0.00092881
                      3,                 1.6322,                 2.0491,                 1.8471,                0.49684,                0.39366,                0.40551,                0.18027,                  1.983,                 2.2943,                 2.2024,               0.001358,               0.001358,               0.001358
                      4,                 1.5741,                 1.9281,                 1.7959,                0.51649,                0.40112,                0.44815,                0.23499,                 1.8477,                 2.1475,                 2.0649,              0.0013229,              0.0013229,              0.0013229
                      5,                 1.5032,                 1.7884,                 1.7363,                0.57586,                0.46735,                0.50676,                0.24813,                 1.8214,                 1.9535,                  2.017,              0.0012875,              0.0012875,              0.0012875
                      6,                 1.4605,                 1.6895,                 1.6963,                0.60742,                0.50228,                0.54672,                0.26783,                 1.7737,                 1.8821,                 1.9671,              0.0012522,              0.0012522,              0.0012522
                      7,                 1.4385,                 1.6203,                  1.672,                0.63859,                0.54559,                0.58995,                0.30352,                 1.7356,                 1.7509,                 1.9513,              0.0012168,              0.0012168,              0.0012168
                      8,                   1.39,                 1.5664,                 1.6379,                0.66627,                0.58022,                 0.6148,                0.31526,                 1.7776,                 1.7213,                 1.9737,              0.0011814,              0.0011814,              0.0011814
                      9,                 1.3799,                  1.524,                 1.6329,                0.59913,                0.57183,                0.56379,                0.28067,                 1.7425,                  1.694,                 1.9896,              0.0011461,              0.0011461,              0.0011461
                     10,                 1.3434,                 1.4636,                 1.5998,                  0.652,                0.58396,                0.60574,                0.30218,                 1.6783,                 1.6185,                 1.8767,              0.0011107,              0.0011107,              0.0011107
