                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49966,                 2.9206,                 0.4497,                0.55106,                0.48151,                0.51482,                0.39344,                0.47642,                0.86943,                 0.4258,             0.00033315,             0.00033315,             0.00033315
                      2,                0.42463,                0.92843,                0.36941,                0.59599,                0.48761,                0.45859,                0.31434,                0.52773,                 1.0477,                0.50002,             0.00064999,             0.00064999,             0.00064999
                      3,                0.41774,                0.90755,                0.36133,                0.51369,                0.47687,                0.46419,                0.32392,                0.49294,                0.99088,                0.45562,             0.00095032,             0.00095032,             0.00095032
                      4,                0.42052,                0.88672,                0.36444,                0.60997,                0.57287,                0.56955,                0.40724,                0.50061,                 0.7943,                0.49683,             0.00092575,             0.00092575,             0.00092575
                      5,                0.41048,                0.85285,                0.35904,                0.61468,                0.58163,                0.57948,                0.42984,                0.45231,                0.92133,                0.40771,               0.000901,               0.000901,               0.000901
                      6,                0.39387,                  0.834,                0.34323,                0.54579,                0.55633,                0.54339,                0.40085,                0.50653,                0.79983,                0.61977,             0.00087625,             0.00087625,             0.00087625
                      7,                0.38648,                0.78664,                 0.3405,                0.61795,                0.55686,                0.59495,                0.42667,                0.46632,                0.76779,                0.44356,              0.0008515,              0.0008515,              0.0008515
                      8,                0.37961,                0.78825,                0.33055,                0.62274,                 0.6377,                0.59576,                0.44348,                0.46516,                0.82952,                0.43942,             0.00082675,             0.00082675,             0.00082675
                      9,                0.37825,                0.78019,                0.33186,                0.67947,                0.59071,                  0.619,                0.46653,                0.47205,                0.69898,                0.47736,               0.000802,               0.000802,               0.000802
                     10,                0.37027,                0.74212,                0.32804,                0.69973,                0.61212,                0.60494,                0.46126,                0.44743,                 0.9157,                0.40573,             0.00077725,             0.00077725,             0.00077725
                     11,                 0.3643,                0.72777,                0.32206,                0.60554,                0.65203,                0.60002,                 0.4454,                0.46329,                0.72072,                0.49468,              0.0007525,              0.0007525,              0.0007525
                     12,                0.35793,                0.71324,                0.31271,                0.76506,                0.65132,                0.71664,                0.54839,                0.46052,                0.68254,                0.45468,             0.00072775,             0.00072775,             0.00072775
                     13,                0.35705,                0.70068,                0.31612,                0.76018,                0.66177,                0.68098,                0.52242,                0.44152,                0.70103,                0.40982,               0.000703,               0.000703,               0.000703
                     14,                0.34319,                0.68321,                0.29794,                0.73096,                0.67185,                0.67338,                0.52002,                0.45024,                0.71515,                0.44315,             0.00067825,             0.00067825,             0.00067825
                     15,                 0.3438,                0.68432,                0.30542,                0.59728,                0.64605,                0.65676,                0.50531,                0.47187,                0.74349,                0.48704,              0.0006535,              0.0006535,              0.0006535
                     16,                 0.3378,                0.65562,                0.30149,                0.78779,                0.71431,                0.71885,                0.55331,                 0.4494,                0.69886,                0.45934,             0.00062875,             0.00062875,             0.00062875
                     17,                0.33781,                0.67121,                0.29989,                0.73554,                0.73436,                0.69316,                0.54277,                0.44531,                 0.6867,                0.44855,               0.000604,               0.000604,               0.000604
                     18,                0.33354,                0.64737,                0.29369,                0.81307,                0.73335,                0.75629,                0.60024,                0.42574,                0.65417,                0.40357,             0.00057925,             0.00057925,             0.00057925
                     19,                 0.3298,                0.65234,                0.29028,                0.80041,                0.72093,                0.75622,                0.60195,                 0.4398,                0.67202,                0.42603,              0.0005545,              0.0005545,              0.0005545
                     20,                0.32542,                0.64237,                0.28867,                0.74704,                0.71479,                0.72944,                0.58184,                0.44252,                0.72936,                0.44424,             0.00052975,             0.00052975,             0.00052975
                     21,                0.32536,                0.63578,                0.28936,                0.77971,                0.72968,                0.74118,                0.58731,                0.42581,                0.68706,                0.41828,               0.000505,               0.000505,               0.000505
