                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50262,                 2.8992,                0.45338,                0.63745,                0.48983,                 0.4959,                0.37559,                0.47106,                 0.8944,                0.43153,             0.00033315,             0.00033315,             0.00033315
                      2,                0.42937,                0.91345,                0.37605,                0.63129,                0.54743,                0.49929,                0.35973,                 0.5002,                0.99112,                0.44974,             0.00063349,             0.00063349,             0.00063349
                      3,                0.41631,                0.89309,                0.35924,                0.55199,                0.48554,                0.46205,                0.33053,                0.50701,                 1.0494,                0.45052,             0.00090083,             0.00090083,             0.00090083
                      4,                0.41762,                 0.8695,                0.36208,                0.61827,                0.59476,                0.58168,                0.42716,                0.50435,                0.86097,                 0.4849,              0.0008515,              0.0008515,              0.0008515
                      5,                0.40476,                 0.8304,                 0.3515,                 0.6247,                0.64166,                0.57558,                0.42851,                0.48082,                0.87571,                0.50432,               0.000802,               0.000802,               0.000802
                      6,                0.38647,                0.79934,                0.33716,                0.71182,                0.67755,                0.66052,                 0.5032,                0.45039,                0.79574,                0.44699,              0.0007525,              0.0007525,              0.0007525
                      7,                0.37922,                0.77152,                0.33057,                0.62281,                0.61612,                0.62138,                0.47535,                0.46024,                0.77479,                 0.4265,               0.000703,               0.000703,               0.000703
                      8,                0.37135,                0.74429,                0.32343,                0.69408,                0.64365,                0.66887,                0.50755,                0.44401,                0.77974,                0.42344,              0.0006535,              0.0006535,              0.0006535
                      9,                0.36138,                0.73711,                0.31843,                0.75564,                0.70149,                0.69369,                0.53956,                0.45889,                0.68441,                 0.4457,               0.000604,               0.000604,               0.000604
                     10,                0.35815,                0.70236,                0.31676,                0.65151,                0.65796,                0.62128,                0.47726,                0.43856,                0.82726,                0.40778,              0.0005545,              0.0005545,              0.0005545
                     11,                0.30723,                0.53849,                0.32164,                0.78117,                0.65851,                0.71087,                0.55081,                0.43453,                0.70334,                0.40817,               0.000505,               0.000505,               0.000505
                     12,                0.30323,                0.50149,                0.31353,                0.76633,                0.67149,                0.73722,                0.57118,                0.43176,                0.67679,                0.42244,              0.0004555,              0.0004555,              0.0004555
                     13,                0.28856,                0.46556,                0.29476,                0.78229,                 0.6919,                0.75968,                0.59286,                0.42372,                 0.6371,                0.40957,               0.000406,               0.000406,               0.000406
                     14,                0.27539,                0.43637,                0.28551,                0.88036,                0.70376,                0.75687,                 0.5953,                0.42784,                0.60522,                0.41789,              0.0003565,              0.0003565,              0.0003565
                     15,                0.26384,                0.40841,                0.26956,                0.78779,                0.73824,                0.76058,                0.60236,                0.43525,                0.58663,                0.45501,               0.000307,               0.000307,               0.000307
                     16,                0.25613,                0.39077,                0.26007,                0.81777,                0.73309,                0.79059,                0.63922,                0.42228,                0.58259,                0.42012,              0.0002575,              0.0002575,              0.0002575
                     17,                0.24723,                0.38451,                0.24741,                0.82088,                0.74934,                0.80059,                 0.6451,                0.41443,                0.55929,                 0.4149,               0.000208,               0.000208,               0.000208
                     18,                0.23456,                0.36038,                0.23141,                0.83379,                0.74342,                0.79913,                0.65213,                0.41394,                0.57249,                0.42682,              0.0001585,              0.0001585,              0.0001585
                     19,                0.22918,                0.34596,                0.22626,                0.79692,                0.76349,                0.80217,                0.65224,                0.39721,                0.57096,                 0.3882,               0.000109,               0.000109,               0.000109
                     20,                0.21827,                0.33974,                0.21379,                0.83018,                0.76732,                 0.8114,                 0.6642,                0.40558,                0.55258,                0.41575,               5.95e-05,               5.95e-05,               5.95e-05
