                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4996,                 2.7003,                 1.6892,                0.16566,                  0.145,                0.11245,                0.05038,                 2.0163,                   4.13,                 2.3518,              0.0004758,              0.0004758,              0.0004758
                      2,                 1.5846,                 2.1668,                 1.7562,                0.25862,                0.15224,                0.16193,                0.08323,                 1.9809,                  2.782,                 2.1734,             0.00092857,             0.00092857,             0.00092857
                      3,                 1.5744,                 2.0147,                 1.7511,                0.29133,                0.28359,                0.19825,                0.09047,                 1.9786,                 2.6476,                  2.172,              0.0013578,              0.0013578,              0.0013578
                      4,                 1.5388,                 1.9492,                 1.7317,                0.31333,                0.33527,                0.31977,                0.18645,                 1.9167,                 2.3001,                 2.1115,              0.0013229,              0.0013229,              0.0013229
                      5,                 1.4808,                 1.7887,                 1.6901,                0.37643,                0.29193,                0.33428,                0.16792,                 1.8664,                 2.2414,                 2.1249,              0.0012875,              0.0012875,              0.0012875
                      6,                 1.4205,                 1.7033,                 1.6371,                 0.3575,                0.43605,                0.39598,                0.23251,                 1.7216,                 2.0979,                 1.9423,              0.0012522,              0.0012522,              0.0012522
                      7,                  1.389,                 1.6173,                 1.6153,                0.43279,                0.39134,                0.35698,                0.21763,                 1.8305,                 2.0062,                  2.059,              0.0012168,              0.0012168,              0.0012168
                      8,                 1.3561,                 1.5422,                 1.5851,                0.46096,                 0.5469,                0.47011,                0.28616,                 1.6429,                  1.816,                 1.8462,              0.0011814,              0.0011814,              0.0011814
                      9,                 1.3304,                 1.4925,                 1.5694,                0.47717,                0.46919,                0.47276,                0.30407,                 1.6697,                 1.7214,                 1.8832,              0.0011461,              0.0011461,              0.0011461
                     10,                 1.2983,                  1.459,                 1.5455,                0.52082,                0.55495,                0.51496,                0.33244,                 1.6337,                 1.6869,                 1.8279,              0.0011107,              0.0011107,              0.0011107
                     11,                 1.2742,                 1.4052,                 1.5235,                0.55031,                0.60819,                 0.5572,                0.36256,                 1.5718,                 1.5249,                  1.804,              0.0010753,              0.0010753,              0.0010753
                     12,                 1.2615,                 1.3867,                  1.511,                0.66736,                0.56228,                0.61635,                0.39486,                 1.5915,                 1.4481,                 1.8195,                0.00104,                0.00104,                0.00104
                     13,                 1.2305,                   1.33,                 1.4888,                0.66612,                0.57486,                0.61145,                0.39384,                 1.6048,                 1.5242,                 1.8152,              0.0010046,              0.0010046,              0.0010046
                     14,                 1.2129,                  1.293,                 1.4729,                0.66917,                  0.529,                0.59649,                0.37725,                 1.5667,                 1.5451,                 1.7955,             0.00096922,             0.00096922,             0.00096922
                     15,                 1.2063,                 1.2657,                 1.4653,                0.67266,                0.59886,                0.65087,                0.42411,                 1.5008,                 1.4026,                 1.7348,             0.00093385,             0.00093385,             0.00093385
                     16,                  1.184,                 1.2202,                 1.4481,                0.62725,                0.64731,                0.65923,                0.42801,                  1.539,                 1.4431,                 1.7845,             0.00089848,             0.00089848,             0.00089848
                     17,                 1.1652,                 1.2168,                 1.4368,                0.70183,                0.62879,                0.64238,                0.41214,                 1.5096,                 1.3684,                 1.7236,             0.00086312,             0.00086312,             0.00086312
                     18,                 1.1674,                 1.2004,                 1.4315,                0.70354,                0.67532,                0.69288,                0.46707,                 1.4921,                 1.3041,                 1.7214,             0.00082775,             0.00082775,             0.00082775
                     19,                 1.1427,                 1.1542,                 1.4182,                0.64442,                0.66681,                0.69579,                0.45379,                 1.5097,                 1.3468,                 1.7198,             0.00079238,             0.00079238,             0.00079238
                     20,                 1.1433,                 1.1544,                 1.4178,                0.71518,                0.66893,                0.70566,                0.48322,                 1.4796,                 1.2992,                 1.6874,             0.00075701,             0.00075701,             0.00075701
                     21,                  1.119,                 1.1294,                 1.4061,                0.73668,                0.63598,                0.68122,                0.47549,                 1.4719,                 1.2725,                 1.6807,             0.00072164,             0.00072164,             0.00072164
